Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag,IncomeByPosition,MaturityDate,StrikePrice
7/15/2024,APRT,4SPY  250331C00003870,4SPY  250331C00003870,SPY 03/31/2025 3.87 C,2129,553.2247,117781538.6,100.65%,117015229.7,3175000,127,,,3/31/2025,3.87
7/15/2024,APRT,4SPY  250331C00617330,4SPY  250331C00617330,SPY 03/31/2025 617.33 C,-2129,8.683,-1848610.7,-1.58%,117015229.7,3175000,127,,,3/31/2025,617.33
7/15/2024,APRT,4SPY  250331P00470760,4SPY  250331P00470760,SPY 03/31/2025 470.76 P,-2129,5.1659,-1099820.11,-0.94%,117015229.7,3175000,127,,,3/31/2025,470.76
7/15/2024,APRT,4SPY  250331P00523020,4SPY  250331P00523020,SPY 03/31/2025 523.02 P,2129,10.6462,2266575.98,1.94%,117015229.7,3175000,127,,,3/31/2025,523.02
7/15/2024,APRT,Cash&Other,Cash&Other,Cash&Other,-91551.78,1,-91551.78,-0.08%,117015229.7,3175000,127,Y,,,
7/15/2024,APRW,4SPY  250331C00003920,4SPY  250331C00003920,SPY 03/31/2025 3.92 C,6089,553.1766,336829231.7,101.83%,330769003.1,10479000,419.16,,,3/31/2025,3.92
7/15/2024,APRW,4SPY  250331C00591800,4SPY  250331C00591800,SPY 03/31/2025 591.80 C,-6089,17.8101,-10844569.89,-3.28%,330769003.1,10479000,419.16,,,3/31/2025,591.8
7/15/2024,APRW,4SPY  250331P00418460,4SPY  250331P00418460,SPY 03/31/2025 418.46 P,-6089,2.7481,-1673318.09,-0.51%,330769003.1,10479000,419.16,,,3/31/2025,418.46
7/15/2024,APRW,4SPY  250331P00523120,4SPY  250331P00523120,SPY 03/31/2025 523.12 P,6089,10.6617,6491909.13,1.96%,330769003.1,10479000,419.16,,,3/31/2025,523.12
7/15/2024,APRW,Cash&Other,Cash&Other,Cash&Other,-54312.84,1,-54312.84,-0.02%,330769003.1,10479000,419.16,Y,,,
7/15/2024,ARLU,4SPY  250331C00019410,4SPY  250331C00019410,SPY 03/31/2025 19.41 C,433,538.26,23306658,98.34%,23700830.81,900000,36,,,3/31/2025,19.41
7/15/2024,ARLU,4SPY  250331P00444610,4SPY  250331P00444610,SPY 03/31/2025 444.61 P,-433,3.75,-162375,-0.69%,23700830.81,900000,36,,,3/31/2025,444.61
7/15/2024,ARLU,4SPY  250331P00538550,4SPY  250331P00538550,SPY 03/31/2025 538.55 P,433,13.3783,579280.39,2.44%,23700830.81,900000,36,,,3/31/2025,538.55
7/15/2024,ARLU,Cash&Other,Cash&Other,Cash&Other,-24170.18,1,-24170.18,-0.10%,23700830.81,900000,36,Y,,,
7/15/2024,AUGT,2SPY  240731C00003390,2SPY  240731C00003390,SPY 07/31/2024 3.39 C,506,556.4911,28158449.66,103.55%,27194120.36,925000,37,,,7/31/2024,3.39
7/15/2024,AUGT,2SPY  240731C00543850,2SPY  240731C00543850,SPY 07/31/2024 543.85 C,-506,18.4453,-933332.18,-3.43%,27194120.36,925000,37,,,7/31/2024,543.85
7/15/2024,AUGT,2SPY  240731P00412010,2SPY  240731P00412010,SPY 07/31/2024 412.01 P,-506,0.0534,-2702.04,-0.01%,27194120.36,925000,37,,,7/31/2024,412.01
7/15/2024,AUGT,2SPY  240731P00457740,2SPY  240731P00457740,SPY 07/31/2024 457.74 P,506,0.0905,4579.3,0.02%,27194120.36,925000,37,,,7/31/2024,457.74
7/15/2024,AUGT,Cash&Other,Cash&Other,Cash&Other,-34523.87,1,-34523.87,-0.13%,27194120.36,925000,37,Y,,,
7/15/2024,AUGW,2SPY  240731C00003430,2SPY  240731C00003430,SPY 07/31/2024 3.43 C,1339,556.4512,74508815.68,108.58%,68623000.86,2450000,98,,,7/31/2024,3.43
