ObservationDate,CurveTicker,ComponentTicker,TenorString,D2X,Close,TenorEnd
7/12/2024,YCSW0042,USSO1Day Curncy,1D,1,5.3294,7/13/2024
7/12/2024,YCSW0042,USSO1Z Curncy,1W,5,5.3294,4/11/2024
7/12/2024,YCSW0042,USSO2Z Curncy,2W,10,5.3322,4/18/2024
7/12/2024,YCSW0042,USSO3Z Curncy,3W,15,5.3320,4/25/2024
7/12/2024,YCSW0042,USSOA Curncy,1M,21,5.3329,5/4/2024
7/12/2024,YCSW0042,USSOB Curncy,2M,42,5.3415,6/4/2024
7/12/2024,YCSW0042,USSOC Curncy,3M,63,5.2815,7/4/2024
7/12/2024,YCSW0042,USSOD Curncy,4M,84,5.2351,8/4/2024
7/12/2024,YCSW0042,USSOE Curncy,5M,105,5.1947,9/4/2024
7/12/2024,YCSW0042,USSOF Curncy,6M,126,5.1332,10/4/2024
7/12/2024,YCSW0042,USSOI Curncy,9M,189,4.9642,1/4/2025
7/12/2024,YCSW0042,USSO1 Curncy,1Y,252,4.8000,4/4/2025
7/12/2024,YCSW0042,USSO1F Curncy,18M,378,4.4601,10/4/2025
7/12/2024,YCSW0042,USSO2 Curncy,2Y,504,4.2528,4/4/2026
7/12/2024,YCSW0042,USSO3 Curncy,3Y,756,3.9827,4/4/2027
7/12/2024,YCSW0042,USSO4 Curncy,4Y,1008,3.8385,4/4/2028
7/12/2024,YCSW0042,USSO5 Curncy,5Y,1260,3.7627,4/4/2029
7/12/2024,YCSW0042,USSO7 Curncy,7Y,1764,3.7024,4/4/2031
7/12/2024,YCSW0042,USSO10 Curncy,10Y,2520,3.6936,4/4/2034
7/12/2024,YCSW0042,USSO12 Curncy,12Y,3024,3.7063,4/4/2036
7/12/2024,YCSW0042,USSO15 Curncy,15Y,3780,3.7255,4/4/2039
7/12/2024,YCSW0042,USSO20 Curncy,20Y,5040,3.7082,4/4/2044
7/12/2024,YCSW0042,USSO25 Curncy,25Y,6300,3.6304,4/4/2049
7/12/2024,YCSW0042,USSO30 Curncy,30Y,7560,3.5447,4/4/2054
7/12/2024,YCSW0042,USSO40 Curncy,40Y,10080,3.3390,4/4/2059
