sp,sptr_index
12/30/2016,4278.664
1/3/2017,4315.077
1/4/2017,4340.753
1/5/2017,4337.455
1/6/2017,4354.05
1/9/2017,4338.62
1/10/2017,4338.64
1/11/2017,4351.317
1/12/2017,4342.089
1/13/2017,4350.111
1/17/2017,4337.204
1/18/2017,4345.566
1/19/2017,4329.959
1/20/2017,4344.668
1/23/2017,4333.102
1/24/2017,4361.556
1/25/2017,4396.568
1/26/2017,4393.426
1/27/2017,4389.853
1/30/2017,4363.67
1/31/2017,4359.815
2/1/2017,4362.105
2/2/2017,4364.855
2/3/2017,4396.949
2/6/2017,4387.671
2/7/2017,4388.87
2/8/2017,4393.313
2/9/2017,4419.404
2/10/2017,4435.422
2/13/2017,4459.828
2/14/2017,4478.982
2/15/2017,4501.989
2/16/2017,4498.559
2/17/2017,4506.203
2/21/2017,4533.463
2/22/2017,4528.966
2/23/2017,4531.388
2/24/2017,4539.249
2/27/2017,4544.508
2/28/2017,4532.925
3/1/2017,4595.735
3/2/2017,4569.172
3/3/2017,4571.601
3/6/2017,4556.722
3/7/2017,4543.75
3/8/2017,4534.683
3/9/2017,4538.362
3/10/2017,4553.281
3/13/2017,4556.442
3/14/2017,4541.26
3/15/2017,4579.442
3/16/2017,4572.158
3/17/2017,4566.172
3/20/2017,4557.123
3/21/2017,4500.98
3/22/2017,4509.646
3/23/2017,4504.924
3/24/2017,4501.114
3/27/2017,4496.529
3/28/2017,4529.174
3/29/2017,4535.011
3/30/2017,4548.465
3/31/2017,4538.213
4/3/2017,4530.975
4/4/2017,4534.248
4/5/2017,4520.86
4/6/2017,4530.926
4/7/2017,4527.204
4/10/2017,4530.569
4/11/2017,4524.71
4/12/2017,4507.764
4/13/2017,4477.069
4/17/2017,4515.648
4/18/2017,4502.664
4/19/2017,4495.555
4/20/2017,4529.646
4/21/2017,4515.9
4/24/2017,4564.933
4/25/2017,4592.744
4/26/2017,4590.563
4/27/2017,4593.568
4/28/2017,4584.82
5/1/2017,4592.781
5/2/2017,4598.24
5/3/2017,4593.316
5/4/2017,4596.24
5/5/2017,4615.091
5/8/2017,4615.734
5/9/2017,4611.206
5/10/2017,4618.194
5/11/2017,4609.686
5/12/2017,4602.957
5/15/2017,4625.515
5/16/2017,4623.26
5/17/2017,4540.582
5/18/2017,4557.405
5/19/2017,4588.35
5/22/2017,4612.122
5/23/2017,4620.696
5/24/2017,4632.374
5/25/2017,4653.592
5/26/2017,4655.654
5/30/2017,4650.76
5/31/2017,4649.341
6/1/2017,4685.11
6/2/2017,4702.556
6/5/2017,4697.002
6/6/2017,4683.962
6/7/2017,4692.288
6/8/2017,4693.67
6/9/2017,4689.789
6/12/2017,4685.537
6/13/2017,4707.88
6/14/2017,4703.533
6/15/2017,4693.864
6/16/2017,4695.232
6/19/2017,4734.479
6/20/2017,4702.82
6/21/2017,4700.497
6/22/2017,4698.399
6/23/2017,4705.732
6/26/2017,4707.269
6/27/2017,4669.269
6/28/2017,4711.328
6/29/2017,4670.959
6/30/2017,4678.36
7/3/2017,4689.608
7/5/2017,4697.343
7/6/2017,4655.025
7/7/2017,4684.885
7/10/2017,4689.246
7/11/2017,4685.643
7/12/2017,4720.283
7/13/2017,4729.251
7/14/2017,4751.428
7/17/2017,4751.33
7/18/2017,4754.273
7/19/2017,4780.245
7/20/2017,4779.839
7/21/2017,4778.074
7/24/2017,4773.104
7/25/2017,4787.044
7/26/2017,4788.411
7/27/2017,4784.257
7/28/2017,4778.015
7/31/2017,4774.56
8/1/2017,4786.266
8/2/2017,4789.544
8/3/2017,4779.986
8/4/2017,4789.107
8/7/2017,4797.131
8/8/2017,4786.123
8/9/2017,4784.942
8/10/2017,4717.401
8/11/2017,4723.732
8/14/2017,4771.428
8/15/2017,4770.153
8/16/2017,4778.278
8/17/2017,4704.732
8/18/2017,4696.22
8/21/2017,4701.816
8/22/2017,4748.727
8/23/2017,4732.756
8/24/2017,4723.028
8/25/2017,4731.463
8/28/2017,4733.971
8/29/2017,4738.623
8/30/2017,4761.723
8/31/2017,4789.176
9/1/2017,4798.987
9/5/2017,4762.746
9/6/2017,4777.688
9/7/2017,4777.928
9/8/2017,4771.019
9/11/2017,4822.799
9/12/2017,4839.309
9/13/2017,4843.044
9/14/2017,4839.286
9/15/2017,4848.837
9/18/2017,4856.079
9/19/2017,4861.521
9/20/2017,4864.605
9/21/2017,4849.95
9/22/2017,4853.199
9/25/2017,4842.412
9/26/2017,4843.138
9/27/2017,4862.927
9/28/2017,4869.806
9/29/2017,4887.967
10/2/2017,4906.918
10/3/2017,4917.726
10/4/2017,4924.188
10/5/2017,4952.846
10/6/2017,4949.093
10/9/2017,4940.158
10/10/2017,4951.769
10/11/2017,4960.786
10/12/2017,4952.852
10/13/2017,4957.268
10/16/2017,4966.05
10/17/2017,4969.385
10/18/2017,4973.278
10/19/2017,4975.321
10/20/2017,5001.113
10/23/2017,4981.366
10/24/2017,4989.561
10/25/2017,4966.288
10/26/2017,4972.601
10/27/2017,5012.749
10/30/2017,4997.146
10/31/2017,5002.03
11/1/2017,5009.986
11/2/2017,5011.476
11/3/2017,5027.489
11/6/2017,5034.305
11/7/2017,5033.382
11/8/2017,5040.743
11/9/2017,5023.008
11/10/2017,5020.307
11/13/2017,5025.356
11/14/2017,5014.529
11/15/2017,4987.959
11/16/2017,5030.476
11/17/2017,5017.452
11/20/2017,5024.012
11/21/2017,5056.952
11/22/2017,5053.603
11/24/2017,5064.231
11/27/2017,5062.846
11/28/2017,5112.914
11/29/2017,5111.684
11/30/2017,5155.441
12/1/2017,5145.207
12/4/2017,5139.911
12/5/2017,5120.921
12/6/2017,5120.463
12/7/2017,5136.371
12/8/2017,5165.192
12/11/2017,5181.754
12/12/2017,5189.96
12/13/2017,5187.682
12/14/2017,5167.448
12/15/2017,5214.103
12/18/2017,5242.285
12/19/2017,5225.431
12/20/2017,5221.79
12/21/2017,5232.162
12/22/2017,5229.791
12/26/2017,5224.508
12/27/2017,5229.013
12/28/2017,5239.588
12/29/2017,5212.763
1/2/2018,5256.284
1/3/2018,5289.924
1/4/2018,5312.333
1/5/2018,5349.689
1/8/2018,5358.679
1/9/2018,5367.261
1/10/2018,5361.329
1/11/2018,5399.462
1/12/2018,5435.918
1/16/2018,5416.855
1/17/2018,5467.846
1/18/2018,5459.497
1/19/2018,5483.572
1/22/2018,5527.89
1/23/2018,5540.127
1/24/2018,5537.032
1/25/2018,5540.382
1/26/2018,5606.085
1/29/2018,5568.672
1/30/2018,5508.357
1/31/2018,5511.214
2/1/2018,5508.7
2/2/2018,5392.214
2/5/2018,5171.262
2/6/2018,5262.017
2/7/2018,5235.84
2/8/2018,5040.055
2/9/2018,5116.991
2/12/2018,5188.37
2/13/2018,5202.217
2/14/2018,5273.426
2/15/2018,5338.351
2/16/2018,5340.82
2/20/2018,5309.994
2/21/2018,5280.912
2/22/2018,5286.497
2/23/2018,5371.565
2/26/2018,5435.376
2/27/2018,5367.087
2/28/2018,5308.087
3/1/2018,5238.183
3/2/2018,5265.24
3/5/2018,5323.36
3/6/2018,5337.686
3/7/2018,5335.471
3/8/2018,5360.733
3/9/2018,5454.025
3/12/2018,5447.097
3/13/2018,5412.753
3/14/2018,5383.266
3/15/2018,5379.393
3/16/2018,5388.735
3/19/2018,5312.234
3/20/2018,5320.198
3/21/2018,5310.958
3/22/2018,5177.524
3/23/2018,5069.027
3/26/2018,5206.69
3/27/2018,5116.75
3/28/2018,5102.686
3/29/2018,5173.191
4/2/2018,5057.689
4/3/2018,5121.697
4/4/2018,5181.307
4/5/2018,5217.619
4/6/2018,5103.351
4/9/2018,5121.897
4/10/2018,5207.73
4/11/2018,5179.187
4/12/2018,5222.545
4/13/2018,5207.572
4/16/2018,5249.939
4/17/2018,5305.902
4/18/2018,5310.321
4/19/2018,5280.566
4/20/2018,5235.746
4/23/2018,5236.038
4/24/2018,5166.102
4/25/2018,5175.59
4/26/2018,5229.609
4/27/2018,5235.732
4/30/2018,5193.041
5/1/2018,5206.305
5/2/2018,5168.786
5/3/2018,5157.698
5/4/2018,5224.706
5/7/2018,5242.871
5/8/2018,5241.533
5/9/2018,5292.897
5/10/2018,5343.704
5/11/2018,5354.688
5/14/2018,5359.662
5/15/2018,5323.234
5/16/2018,5346.328
5/17/2018,5343.291
5/18/2018,5329.664
