DivExpirationDate,DivCurve
5-Aug-24,0.04784
6-Aug-24,0.03839
7-Aug-24,0.03144
8-Aug-24,0.02606
9-Aug-24,0.00720
12-Aug-24,0.01863
13-Aug-24,0.01709
14-Aug-24,0.01610
15-Aug-24,0.02326
16-Aug-24,0.01573
19-Aug-24,0.02120
20-Aug-24,0.01975
21-Aug-24,0.01945
22-Aug-24,0.01887
23-Aug-24,0.01241
26-Aug-24,0.01529
27-Aug-24,0.01550
28-Aug-24,0.01488
29-Aug-24,0.01453
30-Aug-24,0.00940
3-Sep-24,0.01439
4-Sep-24,0.01264
5-Sep-24,0.01306
6-Sep-24,0.01151
9-Sep-24,0.01251
10-Sep-24,0.01188
13-Sep-24,0.01096
16-Sep-24,0.01342
20-Sep-24,0.01006
27-Sep-24,0.00937
30-Sep-24,0.01146
18-Oct-24,0.00849
31-Oct-24,0.00843
15-Nov-24,0.00778
29-Nov-24,0.00775
20-Dec-24,0.00815
31-Dec-24,0.00793
17-Jan-25,0.00599
31-Jan-25,0.00568
21-Feb-25,0.00649
21-Mar-25,0.00699
31-Mar-25,0.00713
17-Apr-25,0.00648
16-May-25,0.00669
20-Jun-25,0.00688
30-Jun-25,0.00660
18-Jul-25,0.00646
15-Aug-25,0.00662
19-Sep-25,0.00682
19-Dec-25,0.00681
16-Jan-26,0.00650
18-Jun-26,0.00668
18-Dec-26,0.00671
17-Dec-27,0.00649
15-Dec-28,0.00620
21-Dec-29,0.00599
31-Dec-29,0.00599
31-Dec-30,0.00585
31-Dec-31,0.00574
31-Dec-32,0.00565
30-Dec-33,0.00559
