ObservationDate,ExpirationDate,Tenor,D2X,Strike,Moneyness,BBG
7/12/2024,13-Jul-24,1D,1,4489.20,0.8,65.8700
7/12/2024,13-Jul-24,1D,1,5050.40,0.9,41.8600
7/12/2024,13-Jul-24,1D,1,5330.90,0.95,24.6300
7/12/2024,13-Jul-24,1D,1,5471.20,0.975,14.1400
7/12/2024,13-Jul-24,1D,1,5611.50,1,7.0800
7/12/2024,13-Jul-24,1D,1,5751.80,1.025,9.8200
7/12/2024,13-Jul-24,1D,1,5892.10,1.05,17.2700
7/12/2024,13-Jul-24,1D,1,6172.70,1.1,29.0300
7/12/2024,13-Jul-24,1D,1,6733.80,1.2,44.4100
7/12/2024,19-Jul-24,1W,5,4489.20,0.8,52.7900
7/12/2024,19-Jul-24,1W,5,5050.40,0.9,31.3400
7/12/2024,19-Jul-24,1W,5,5330.90,0.95,18.0700
7/12/2024,19-Jul-24,1W,5,5471.20,0.975,11.8200
7/12/2024,19-Jul-24,1W,5,5611.50,1,8.8200
7/12/2024,19-Jul-24,1W,5,5751.80,1.025,8.5500
7/12/2024,19-Jul-24,1W,5,5892.10,1.05,12.1500
7/12/2024,19-Jul-24,1W,5,6172.70,1.1,21.0100
7/12/2024,19-Jul-24,1W,5,6733.80,1.2,34.1500
7/12/2024,11-Aug-24,1M,21,4489.20,0.8,34.07
7/12/2024,11-Aug-24,1M,21,5050.40,0.9,20.80
7/12/2024,11-Aug-24,1M,21,5330.90,0.95,14.64
7/12/2024,11-Aug-24,1M,21,5471.20,0.975,12.19
7/12/2024,11-Aug-24,1M,21,5611.50,1,10.34
7/12/2024,11-Aug-24,1M,21,5751.80,1.025,9.55
7/12/2024,11-Aug-24,1M,21,5892.10,1.05,9.50
7/12/2024,11-Aug-24,1M,21,6172.70,1.1,12.43
7/12/2024,11-Aug-24,1M,21,6733.80,1.2,20.66
7/12/2024,10-Sep-24,2M,42,4489.20,0.8,27.5900
7/12/2024,10-Sep-24,2M,42,5050.40,0.9,18.4000
7/12/2024,10-Sep-24,2M,42,5330.90,0.95,14.3100
7/12/2024,10-Sep-24,2M,42,5471.20,0.975,12.5400
7/12/2024,10-Sep-24,2M,42,5611.50,1,10.7600
7/12/2024,10-Sep-24,2M,42,5751.80,1.025,10.2000
