Account,Delta,Vega,Theta,Gamma,D2X,MarketValue,SharesOutstanding,UPX,SharePrice,DeltaRank,VegaRank,ThetaRank,GammaRank,D2XRank,TotalRank
SIXO,0.518,-0.17999999999999994,0.146,0.0010000000000000009,40.0,98120359.71000001,3225000.0,532.9,30.42,14.0,30.0,15.0,6.0,5.5,70.5
JANT,0.482,-1.002,0.15100000000000002,-0.005999999999999999,104.0,49334655.71,1450000.0,532.9,34.02,18.0,3.0,13.0,30.5,15.5,80.0
SEPT,0.503,-0.5539999999999999,0.416,-0.013,20.0,12374664.17,425000.0,532.9,29.12,16.0,24.0,2.0,37.0,2.0,81.0
SIXP,0.531,-0.30900000000000005,0.28700000000000003,-0.006,20.0,29565289.05,1125000.0,532.9,26.28,13.0,29.0,5.0,32.5,2.0,81.5
SIXJ,0.45899999999999996,-0.5779999999999998,0.137,-0.0010000000000000009,104.0,124711010.37,4400000.0,532.9,28.34,19.0,21.0,16.0,10.0,15.5,81.5
FEBT,0.505,-1.048,0.131,-0.005999999999999999,125.0,27087340.03,850000.0,532.9,31.87,15.0,2.0,17.5,30.5,19.0,84.0
DECT,0.414,-0.987,0.195,-0.006999999999999999,83.0,20179960.29,650000.0,532.9,31.05,24.0,4.0,10.0,34.5,12.0,84.5
SIXF,0.45799999999999996,-0.7080000000000002,0.131,-0.002,125.0,12624050.2,475000.0,532.9,26.58,20.0,14.0,17.5,14.0,19.0,84.5
SIXD,0.433,-0.577,0.15700000000000003,-0.002999999999999999,83.0,172396614.42,6775000.0,532.9,25.45,22.0,22.0,12.0,17.5,12.0,85.5
MAYT,0.554,-1.113,0.10099999999999999,-0.004,186.0,17217616.07,550000.0,532.9,31.3,12.0,1.0,22.0,24.5,27.0,86.5
MART,0.613,-0.734,0.095,-0.003,144.0,34721905.04,1100000.0,532.9,31.57,8.0,12.0,25.0,20.5,21.5,87.0
